national_road_type,number_of_accidents
Busway,1
Local Road,1
Sub-arterial Road,1
Local Road,1
Arterial Road,1
National or State Highway,1
Sub-arterial Road,1
National or State Highway,1
Sub-arterial Road,1
National or State Highway,1
Local Road,1
Collector Road,1
Access road,1
National or State Highway,1
National or State Highway,1
Local Road,1
Local Road,1
Sub-arterial Road,1
Sub-arterial Road,1
National or State Highway,1
Sub-arterial Road,1
Sub-arterial Road,1
Arterial Road,1
Collector Road,1
Local Road,1
Arterial Road,1
National or State Highway,1
Arterial Road,1
Local Road,1
National or State Highway,1
Arterial Road,1
National or State Highway,1
National or State Highway,1
National or State Highway,1
Arterial Road,1
Local Road,1
Arterial Road,1
Sub-arterial Road,1
Arterial Road,1
Arterial Road,1
Local Road,1
National or State Highway,1
Arterial Road,1
Local Road,1
Local Road,1
Arterial Road,1
Sub-arterial Road,1
Arterial Road,1
Sub-arterial Road,1
Local Road,1
Sub-arterial Road,1
Collector Road,1
Collector Road,1
Local Road,1
National or State Highway,1
Arterial Road,1
Local Road,1
National or State Highway,1
Arterial Road,1
National or State Highway,1
Local Road,1
Arterial Road,1
National or State Highway,1
National or State Highway,1
National or State Highway,1
Local Road,1
National or State Highway,1
National or State Highway,1
Sub-arterial Road,1
Local Road,1
Local Road,1
National or State Highway,1
Access road,1
Sub-arterial Road,1
Sub-arterial Road,1
Sub-arterial Road,1
Local Road,1
National or State Highway,1
Arterial Road,1
Local Road,1
Arterial Road,1
National or State Highway,1
Sub-arterial Road,1
National or State Highway,1
Local Road,1
Local Road,1
National or State Highway,1
Sub-arterial Road,1
National or State Highway,1
National or State Highway,1
Sub-arterial Road,1
Sub-arterial Road,1
Arterial Road,1
National or State Highway,1
Sub-arterial Road,1
Sub-arterial Road,1
Arterial Road,1
Arterial Road,1
Sub-arterial Road,1
Sub-arterial Road,1
Arterial Road,1
Sub-arterial Road,1
Local Road,1
National or State Highway,1
Local Road,1
Local Road,1
National or State Highway,1
National or State Highway,1
National or State Highway,1
Local Road,1
Arterial Road,1
National or State Highway,1
Arterial Road,1
Local Road,1
Sub-arterial Road,1
National or State Highway,1
Sub-arterial Road,1
Collector Road,1
Local Road,1
National or State Highway,1
National or State Highway,1
National or State Highway,1
National or State Highway,1
Sub-arterial Road,1
Local Road,1
Local Road,1
Arterial Road,1
National or State Highway,1
National or State Highway,1
Sub-arterial Road,1
National or State Highway,1
Arterial Road,1
National or State Highway,1
National or State Highway,1
Sub-arterial Road,1
National or State Highway,1
Local Road,1
Local Road,1
Arterial Road,1
National or State Highway,1
National or State Highway,1
National or State Highway,1
Collector Road,1
Undetermined,1
Sub-arterial Road,1
Sub-arterial Road,1
National or State Highway,1
National or State Highway,1
National or State Highway,1
Sub-arterial Road,1
National or State Highway,1
National or State Highway,1
National or State Highway,1
Sub-arterial Road,1
Sub-arterial Road,1
National or State Highway,1
Collector Road,1
Local Road,1
Arterial Road,1
Local Road,1
Sub-arterial Road,1
Arterial Road,1
Sub-arterial Road,1
National or State Highway,1
National or State Highway,1
National or State Highway,1
National or State Highway,1
Sub-arterial Road,1
Arterial Road,1
Local Road,1
Arterial Road,1
Collector Road,1
Arterial Road,1
Local Road,1
National or State Highway,1
Arterial Road,1
National or State Highway,1
National or State Highway,1
Local Road,1
Local Road,1
Local Road,1
Local Road,1
Local Road,1
National or State Highway,1
Sub-arterial Road,1
National or State Highway,1
Sub-arterial Road,1
Local Road,1
Local Road,1
National or State Highway,1
Arterial Road,1
National or State Highway,1
National or State Highway,1
Collector Road,1
Local Road,1
Local Road,1
Sub-arterial Road,1
Sub-arterial Road,1
Local Road,1
Arterial Road,1
Arterial Road,1
Local Road,1
Local Road,1
Arterial Road,1
Local Road,1
Sub-arterial Road,1
Collector Road,1
Sub-arterial Road,1
Local Road,1
National or State Highway,1
Local Road,1
Sub-arterial Road,1
National or State Highway,1
National or State Highway,1
National or State Highway,1
Sub-arterial Road,1
Sub-arterial Road,1
Local Road,1
Sub-arterial Road,1
National or State Highway,1
Sub-arterial Road,1
Arterial Road,1
National or State Highway,1
Local Road,1
Local Road,1
Collector Road,1
National or State Highway,1
National or State Highway,1
Sub-arterial Road,1
National or State Highway,1
Sub-arterial Road,1
National or State Highway,1
Local Road,1
Sub-arterial Road,1
National or State Highway,1
Local Road,1
Arterial Road,1
Access road,1
Collector Road,1
Local Road,1
Local Road,1
National or State Highway,1
National or State Highway,1
Sub-arterial Road,1
Arterial Road,1
National or State Highway,1
Local Road,1
Local Road,1
Arterial Road,1
Sub-arterial Road,1
National or State Highway,1
Local Road,1
Arterial Road,1
Arterial Road,1
Undetermined,1
Sub-arterial Road,1
National or State Highway,1
Sub-arterial Road,1
National or State Highway,1
Arterial Road,1
Sub-arterial Road,1
National or State Highway,1
National or State Highway,1
Sub-arterial Road,1
Arterial Road,1
Arterial Road,1
Arterial Road,1
Arterial Road,1
National or State Highway,1
National or State Highway,1
Local Road,1
National or State Highway,1
National or State Highway,1
National or State Highway,1
Local Road,1
Local Road,1
Sub-arterial Road,1
Local Road,1
Local Road,1
Local Road,1
National or State Highway,1
National or State Highway,1
Collector Road,1
Busway,1
Local Road,1
Arterial Road,1
Arterial Road,1
Local Road,1
Collector Road,1
Sub-arterial Road,1
National or State Highway,1
Arterial Road,1
Arterial Road,1
National or State Highway,1
Arterial Road,1
Arterial Road,1
National or State Highway,1
National or State Highway,1
Arterial Road,1
Collector Road,1
Local Road,1
Local Road,1
Local Road,1
Arterial Road,1
Arterial Road,1
Collector Road,1
Arterial Road,1
Arterial Road,1
National or State Highway,1
Arterial Road,1
National or State Highway,1
Sub-arterial Road,1
Sub-arterial Road,1
Arterial Road,1
Access road,1
Collector Road,1
National or State Highway,1
National or State Highway,1
National or State Highway,1
National or State Highway,1
National or State Highway,1
National or State Highway,1
Sub-arterial Road,1
Arterial Road,1
National or State Highway,1
National or State Highway,1
Local Road,1
Local Road,1
Collector Road,1
Access road,1
National or State Highway,1
National or State Highway,1
National or State Highway,1
National or State Highway,1
National or State Highway,1
Local Road,1
Sub-arterial Road,1
Sub-arterial Road,1
Sub-arterial Road,1
Local Road,1
Sub-arterial Road,1
Arterial Road,1
Arterial Road,1
National or State Highway,1
Arterial Road,1
Arterial Road,1
Local Road,1
National or State Highway,1
Sub-arterial Road,1
National or State Highway,1
Sub-arterial Road,1
Collector Road,1
Local Road,1
Arterial Road,1
Local Road,1
Arterial Road,1
Arterial Road,1
Local Road,1
National or State Highway,1
Arterial Road,1
Arterial Road,1
Local Road,1
Collector Road,1
Sub-arterial Road,1
National or State Highway,1
National or State Highway,1
National or State Highway,1
Local Road,1
Arterial Road,1
National or State Highway,1
National or State Highway,1
Arterial Road,1
Sub-arterial Road,1
Local Road,1
Sub-arterial Road,1
Arterial Road,1
Collector Road,1
Sub-arterial Road,1
Collector Road,1
Local Road,1
National or State Highway,1
Sub-arterial Road,1
National or State Highway,1
Sub-arterial Road,1
Local Road,1
Sub-arterial Road,1
Sub-arterial Road,1
Sub-arterial Road,1
Local Road,1
National or State Highway,1
Sub-arterial Road,1
National or State Highway,1
Sub-arterial Road,1
National or State Highway,1
Sub-arterial Road,1
Arterial Road,1
Local Road,1
Local Road,1
National or State Highway,1
National or State Highway,1
Sub-arterial Road,1
Collector Road,1
Local Road,1
National or State Highway,1
National or State Highway,1
National or State Highway,1
Sub-arterial Road,1
Arterial Road,1
National or State Highway,1
National or State Highway,1
Collector Road,1
Sub-arterial Road,1
National or State Highway,1
Local Road,1
National or State Highway,1
National or State Highway,1
National or State Highway,1
National or State Highway,1
National or State Highway,1
Sub-arterial Road,1
Arterial Road,1
Local Road,1
Arterial Road,1
Sub-arterial Road,1
National or State Highway,1
Collector Road,1
National or State Highway,1
Arterial Road,1
Arterial Road,1
Sub-arterial Road,1
National or State Highway,1
National or State Highway,1
Local Road,1
Collector Road,1
National or State Highway,1
Arterial Road,1
Sub-arterial Road,1
Local Road,1
Sub-arterial Road,1
Arterial Road,1
National or State Highway,1
National or State Highway,1
National or State Highway,1
Sub-arterial Road,1
Arterial Road,1
Sub-arterial Road,1
National or State Highway,1
National or State Highway,1
Local Road,1
Access road,1
Collector Road,1
Sub-arterial Road,1
National or State Highway,1
Collector Road,1
Collector Road,1
Sub-arterial Road,1
Sub-arterial Road,1
National or State Highway,1
Local Road,1
Sub-arterial Road,1
Sub-arterial Road,1
Sub-arterial Road,1
Sub-arterial Road,1
National or State Highway,1
Arterial Road,1
Collector Road,1
National or State Highway,1
National or State Highway,1
Arterial Road,1
Sub-arterial Road,1
Arterial Road,1
Local Road,1
National or State Highway,1
Sub-arterial Road,1
Sub-arterial Road,1
National or State Highway,1
Arterial Road,1
Sub-arterial Road,1
Local Road,1
Arterial Road,1
Local Road,1
Sub-arterial Road,1
Arterial Road,1
Arterial Road,1
Arterial Road,1
National or State Highway,1
Local Road,1
Sub-arterial Road,1
Arterial Road,1
Arterial Road,1
National or State Highway,1
Sub-arterial Road,1
Local Road,1
National or State Highway,1
Undetermined,1
Local Road,1
Arterial Road,1
Collector Road,1
National or State Highway,1
National or State Highway,1
Local Road,1
National or State Highway,1
National or State Highway,1
National or State Highway,1
Local Road,1
Sub-arterial Road,1
Arterial Road,1
Local Road,1
Local Road,1
Arterial Road,1
National or State Highway,1
Local Road,1
Collector Road,1
Sub-arterial Road,1
Local Road,1
National or State Highway,1
Sub-arterial Road,1
Sub-arterial Road,1
Arterial Road,1
National or State Highway,1
Sub-arterial Road,1
Local Road,1
Collector Road,1
National or State Highway,1
Collector Road,1
Sub-arterial Road,1
Local Road,1
Arterial Road,1
Local Road,1
National or State Highway,1
Collector Road,1
Arterial Road,1
Local Road,1
Sub-arterial Road,1
National or State Highway,1
Arterial Road,1
Sub-arterial Road,1
Undetermined,1
Arterial Road,1
Collector Road,1
National or State Highway,1
Sub-arterial Road,1
Arterial Road,1
Arterial Road,1
Arterial Road,1
National or State Highway,1
Local Road,1
Collector Road,1
Undetermined,1
National or State Highway,1
Access road,1
National or State Highway,1
Collector Road,1
Local Road,1
Arterial Road,1
Local Road,1
Local Road,1
National or State Highway,1
Local Road,1
Arterial Road,1
Sub-arterial Road,1
Local Road,1
Local Road,1
Local Road,1
Local Road,1
Sub-arterial Road,1
Sub-arterial Road,1
Collector Road,1
National or State Highway,1
National or State Highway,1
Access road,1
Arterial Road,1
Local Road,1
Sub-arterial Road,1
Sub-arterial Road,1
Sub-arterial Road,1
Sub-arterial Road,1
National or State Highway,1
Collector Road,1
Sub-arterial Road,1
Arterial Road,1
National or State Highway,1
Sub-arterial Road,1
Arterial Road,1
Sub-arterial Road,1
Sub-arterial Road,1
Local Road,1
National or State Highway,1
Arterial Road,1
Local Road,1
Arterial Road,1
Local Road,1
Local Road,1
Local Road,1
Arterial Road,1
Sub-arterial Road,1
Sub-arterial Road,1
Arterial Road,1
Arterial Road,1
Arterial Road,1
National or State Highway,1
Local Road,1
Local Road,1
Local Road,1
National or State Highway,1
Arterial Road,1
Local Road,1
Local Road,1
National or State Highway,1
National or State Highway,1
Sub-arterial Road,1
National or State Highway,1
Local Road,1
Local Road,1
Local Road,1
Local Road,1
National or State Highway,1
Arterial Road,1
Local Road,1
Local Road,1
Local Road,1
Collector Road,1
Local Road,1
National or State Highway,1
National or State Highway,1
Arterial Road,1
Local Road,1
Collector Road,1
Arterial Road,1
Local Road,1
Local Road,1
Sub-arterial Road,1
Sub-arterial Road,1
Local Road,1
Local Road,1
Sub-arterial Road,1
Sub-arterial Road,1
National or State Highway,1
National or State Highway,1
National or State Highway,1
Local Road,1
Sub-arterial Road,1
Local Road,1
Local Road,1
Local Road,1
Arterial Road,1
Arterial Road,1
Sub-arterial Road,1
Sub-arterial Road,1
Arterial Road,1
Sub-arterial Road,1
Sub-arterial Road,1
Local Road,1
Local Road,1
Collector Road,1
National or State Highway,1
Collector Road,1
Arterial Road,1
Local Road,1
National or State Highway,1
Arterial Road,1
Local Road,1
Sub-arterial Road,1
Sub-arterial Road,1
Arterial Road,1
Collector Road,1
Sub-arterial Road,1
Arterial Road,1
National or State Highway,1
Arterial Road,1
Local Road,1
Arterial Road,1
National or State Highway,1
Arterial Road,1
National or State Highway,1
Sub-arterial Road,1
Local Road,1
Access road,1
Local Road,1
Sub-arterial Road,1
Local Road,1
Arterial Road,1
Local Road,1
Local Road,1
National or State Highway,1
Sub-arterial Road,1
National or State Highway,1
Local Road,1
Arterial Road,1
National or State Highway,1
National or State Highway,1
National or State Highway,1
Local Road,1
National or State Highway,1
Sub-arterial Road,1
Sub-arterial Road,1
Collector Road,1
Sub-arterial Road,1
Collector Road,1
National or State Highway,1
National or State Highway,1
Sub-arterial Road,1
Sub-arterial Road,1
National or State Highway,1
Local Road,1
Arterial Road,1
National or State Highway,1
Sub-arterial Road,1
National or State Highway,1
Local Road,1
Sub-arterial Road,1
National or State Highway,1
National or State Highway,1
Local Road,1
National or State Highway,1
National or State Highway,1
Arterial Road,1
National or State Highway,1
Collector Road,1
Collector Road,1
National or State Highway,1
Collector Road,1
Local Road,1
National or State Highway,1
Arterial Road,1
Sub-arterial Road,1
Sub-arterial Road,1
National or State Highway,1
Local Road,1
Collector Road,1
Local Road,1
National or State Highway,1
Local Road,1
Arterial Road,1
National or State Highway,1
Collector Road,1
Local Road,1
National or State Highway,1
National or State Highway,1
Local Road,1
Arterial Road,1
Sub-arterial Road,1
Collector Road,1
Sub-arterial Road,1
Local Road,1
Sub-arterial Road,1
Local Road,1
Sub-arterial Road,1
National or State Highway,1
National or State Highway,1
Local Road,1
National or State Highway,1
Collector Road,1
Local Road,1
National or State Highway,1
Collector Road,1
Sub-arterial Road,1
National or State Highway,1
Local Road,1
National or State Highway,1
Collector Road,1
National or State Highway,1
National or State Highway,1
Local Road,1
National or State Highway,1
Arterial Road,1
Arterial Road,1
Sub-arterial Road,1
Sub-arterial Road,1
Local Road,1
National or State Highway,1
Local Road,1
National or State Highway,1
Local Road,1
Sub-arterial Road,1
Sub-arterial Road,1
National or State Highway,1
Arterial Road,1
National or State Highway,1
Local Road,1
Sub-arterial Road,1
Arterial Road,1
Arterial Road,1
Arterial Road,1
Arterial Road,1
Sub-arterial Road,1
Sub-arterial Road,1
Arterial Road,1
Sub-arterial Road,1
Local Road,1
Sub-arterial Road,1
National or State Highway,1
National or State Highway,1
Sub-arterial Road,1
Sub-arterial Road,1
Local Road,1
National or State Highway,1
Arterial Road,1
Sub-arterial Road,1
Sub-arterial Road,1
Arterial Road,1
Arterial Road,1
Arterial Road,1
Local Road,1
Local Road,1
Sub-arterial Road,1
Sub-arterial Road,1
Local Road,1
Sub-arterial Road,1
National or State Highway,1
National or State Highway,1
Arterial Road,1
National or State Highway,1
Local Road,1
National or State Highway,1
Collector Road,1
Access road,1
Arterial Road,1
Sub-arterial Road,1
Arterial Road,1
National or State Highway,1
Arterial Road,1
Collector Road,1
Local Road,1
Arterial Road,1
Sub-arterial Road,1
Arterial Road,1
Sub-arterial Road,1
Sub-arterial Road,1
Sub-arterial Road,1
National or State Highway,1
Local Road,1
Sub-arterial Road,1
Access road,1
Local Road,1
Arterial Road,1
Sub-arterial Road,1
Arterial Road,1
Local Road,1
Arterial Road,1
Arterial Road,1
National or State Highway,1
National or State Highway,1
Local Road,1
Local Road,1
Local Road,1
Collector Road,1
National or State Highway,1
National or State Highway,1
Local Road,1
Sub-arterial Road,1
National or State Highway,1
Access road,1
Sub-arterial Road,1
